figure,panel,arm,category,bin_lo_ms,bin_hi_ms,edge_convention,transactions,percent_of_arm
fig_clrt_distributions,(a),Timing OFF,finite,0.0,1.0,"[lo, hi)",0,0.0
fig_clrt_distributions,(a),Timing OFF,finite,1.0,2.0,"[lo, hi)",10711,40.571969697
fig_clrt_distributions,(a),Timing OFF,finite,2.0,3.0,"[lo, hi)",6336,24.0
fig_clrt_distributions,(a),Timing OFF,finite,3.0,4.0,"[lo, hi)",4637,17.564393939
fig_clrt_distributions,(a),Timing OFF,finite,4.0,5.0,"[lo, hi)",2589,9.806818182
fig_clrt_distributions,(a),Timing OFF,finite,5.0,6.0,"[lo, hi)",550,2.083333333
fig_clrt_distributions,(a),Timing OFF,finite,6.0,7.0,"[lo, hi)",422,1.598484848
fig_clrt_distributions,(a),Timing OFF,finite,7.0,8.0,"[lo, hi)",101,0.382575758
fig_clrt_distributions,(a),Timing OFF,finite,8.0,9.0,"[lo, hi)",360,1.363636364
fig_clrt_distributions,(a),Timing OFF,finite,9.0,10.0,"[lo, hi)",125,0.473484848
fig_clrt_distributions,(a),Timing OFF,finite,10.0,11.0,"[lo, hi)",51,0.193181818
fig_clrt_distributions,(a),Timing OFF,finite,11.0,12.0,"[lo, hi)",28,0.106060606
fig_clrt_distributions,(a),Timing OFF,finite,12.0,13.0,"[lo, hi)",188,0.712121212
fig_clrt_distributions,(a),Timing OFF,finite,13.0,14.0,"[lo, hi)",150,0.568181818
fig_clrt_distributions,(a),Timing OFF,finite,14.0,15.0,"[lo, hi)",44,0.166666667
fig_clrt_distributions,(a),Timing OFF,overflow,15.0,inf,"[cutoff, inf)",108,0.409090909
fig_clrt_distributions,(b),Obfuscated,finite,0.0,1.0,"[lo, hi)",0,0.0
fig_clrt_distributions,(b),Obfuscated,finite,1.0,2.0,"[lo, hi)",0,0.0
fig_clrt_distributions,(b),Obfuscated,finite,2.0,3.0,"[lo, hi)",0,0.0
fig_clrt_distributions,(b),Obfuscated,finite,3.0,4.0,"[lo, hi)",13508,51.166666667
fig_clrt_distributions,(b),Obfuscated,finite,4.0,5.0,"[lo, hi)",12868,48.742424242
fig_clrt_distributions,(b),Obfuscated,finite,5.0,6.0,"[lo, hi)",8,0.03030303
fig_clrt_distributions,(b),Obfuscated,finite,6.0,7.0,"[lo, hi)",6,0.022727273
fig_clrt_distributions,(b),Obfuscated,finite,7.0,8.0,"[lo, hi)",1,0.003787879
fig_clrt_distributions,(b),Obfuscated,finite,8.0,9.0,"[lo, hi)",0,0.0
fig_clrt_distributions,(b),Obfuscated,finite,9.0,10.0,"[lo, hi)",1,0.003787879
fig_clrt_distributions,(b),Obfuscated,finite,10.0,11.0,"[lo, hi)",0,0.0
fig_clrt_distributions,(b),Obfuscated,finite,11.0,12.0,"[lo, hi)",0,0.0
fig_clrt_distributions,(b),Obfuscated,finite,12.0,13.0,"[lo, hi)",0,0.0
fig_clrt_distributions,(b),Obfuscated,finite,13.0,14.0,"[lo, hi)",1,0.003787879
fig_clrt_distributions,(b),Obfuscated,finite,14.0,15.0,"[lo, hi)",0,0.0
fig_clrt_distributions,(b),Obfuscated,overflow,15.0,inf,"[cutoff, inf)",7,0.026515152
fig_clrt_distributions_full,(a),Timing OFF,finite,1.0,2.0,"[lo, hi); topmost closed",10711,40.571969697
fig_clrt_distributions_full,(a),Timing OFF,finite,2.0,3.0,"[lo, hi); topmost closed",6336,24.0
fig_clrt_distributions_full,(a),Timing OFF,finite,3.0,4.0,"[lo, hi); topmost closed",4637,17.564393939
fig_clrt_distributions_full,(a),Timing OFF,finite,4.0,5.0,"[lo, hi); topmost closed",2589,9.806818182
fig_clrt_distributions_full,(a),Timing OFF,finite,5.0,6.0,"[lo, hi); topmost closed",550,2.083333333
fig_clrt_distributions_full,(a),Timing OFF,finite,6.0,7.0,"[lo, hi); topmost closed",422,1.598484848
fig_clrt_distributions_full,(a),Timing OFF,finite,7.0,8.0,"[lo, hi); topmost closed",101,0.382575758
fig_clrt_distributions_full,(a),Timing OFF,finite,8.0,9.0,"[lo, hi); topmost closed",360,1.363636364
fig_clrt_distributions_full,(a),Timing OFF,finite,9.0,10.0,"[lo, hi); topmost closed",125,0.473484848
fig_clrt_distributions_full,(a),Timing OFF,finite,10.0,11.0,"[lo, hi); topmost closed",51,0.193181818
fig_clrt_distributions_full,(a),Timing OFF,finite,11.0,12.0,"[lo, hi); topmost closed",28,0.106060606
fig_clrt_distributions_full,(a),Timing OFF,finite,12.0,13.0,"[lo, hi); topmost closed",188,0.712121212
fig_clrt_distributions_full,(a),Timing OFF,finite,13.0,14.0,"[lo, hi); topmost closed",150,0.568181818
fig_clrt_distributions_full,(a),Timing OFF,finite,14.0,15.0,"[lo, hi); topmost closed",44,0.166666667
fig_clrt_distributions_full,(a),Timing OFF,finite,15.0,16.0,"[lo, hi); topmost closed",16,0.060606061
fig_clrt_distributions_full,(a),Timing OFF,finite,16.0,17.0,"[lo, hi); topmost closed",10,0.037878788
fig_clrt_distributions_full,(a),Timing OFF,finite,17.0,18.0,"[lo, hi); topmost closed",4,0.015151515
fig_clrt_distributions_full,(a),Timing OFF,finite,18.0,19.0,"[lo, hi); topmost closed",5,0.018939394
fig_clrt_distributions_full,(a),Timing OFF,finite,19.0,20.0,"[lo, hi); topmost closed",2,0.007575758
fig_clrt_distributions_full,(a),Timing OFF,finite,20.0,21.0,"[lo, hi); topmost closed",5,0.018939394
fig_clrt_distributions_full,(a),Timing OFF,finite,21.0,22.0,"[lo, hi); topmost closed",7,0.026515152
fig_clrt_distributions_full,(a),Timing OFF,finite,22.0,23.0,"[lo, hi); topmost closed",15,0.056818182
fig_clrt_distributions_full,(a),Timing OFF,finite,23.0,24.0,"[lo, hi); topmost closed",16,0.060606061
fig_clrt_distributions_full,(a),Timing OFF,finite,24.0,25.0,"[lo, hi); topmost closed",7,0.026515152
fig_clrt_distributions_full,(a),Timing OFF,finite,25.0,26.0,"[lo, hi); topmost closed",6,0.022727273
fig_clrt_distributions_full,(a),Timing OFF,finite,26.0,27.0,"[lo, hi); topmost closed",3,0.011363636
fig_clrt_distributions_full,(a),Timing OFF,finite,27.0,28.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(a),Timing OFF,finite,33.0,34.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(a),Timing OFF,finite,34.0,35.0,"[lo, hi); topmost closed",2,0.007575758
fig_clrt_distributions_full,(a),Timing OFF,finite,36.0,37.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(a),Timing OFF,finite,44.0,45.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(a),Timing OFF,finite,48.0,49.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(a),Timing OFF,finite,57.0,58.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(a),Timing OFF,finite,62.0,63.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(a),Timing OFF,finite,63.0,64.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(a),Timing OFF,finite,77.0,78.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(a),Timing OFF,finite,83.0,84.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(b),Obfuscated,finite,3.0,4.0,"[lo, hi); topmost closed",13508,51.166666667
fig_clrt_distributions_full,(b),Obfuscated,finite,4.0,5.0,"[lo, hi); topmost closed",12868,48.742424242
fig_clrt_distributions_full,(b),Obfuscated,finite,5.0,6.0,"[lo, hi); topmost closed",8,0.03030303
fig_clrt_distributions_full,(b),Obfuscated,finite,6.0,7.0,"[lo, hi); topmost closed",6,0.022727273
fig_clrt_distributions_full,(b),Obfuscated,finite,7.0,8.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(b),Obfuscated,finite,9.0,10.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(b),Obfuscated,finite,13.0,14.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(b),Obfuscated,finite,23.0,24.0,"[lo, hi); topmost closed",2,0.007575758
fig_clrt_distributions_full,(b),Obfuscated,finite,32.0,33.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(b),Obfuscated,finite,47.0,48.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_distributions_full,(b),Obfuscated,finite,48.0,49.0,"[lo, hi); topmost closed",2,0.007575758
fig_clrt_distributions_full,(b),Obfuscated,finite,57.0,58.0,"[lo, hi); topmost closed",1,0.003787879
fig_clrt_zoom,(a),Timing OFF,finite,3.9,3.905,"[lo, hi); denominator is the arm's full sample, not the window",82,0.310606061
fig_clrt_zoom,(a),Timing OFF,finite,3.905,3.91,"[lo, hi); denominator is the arm's full sample, not the window",91,0.34469697
fig_clrt_zoom,(a),Timing OFF,finite,3.91,3.915,"[lo, hi); denominator is the arm's full sample, not the window",111,0.420454545
fig_clrt_zoom,(a),Timing OFF,finite,3.915,3.92,"[lo, hi); denominator is the arm's full sample, not the window",97,0.367424242
fig_clrt_zoom,(a),Timing OFF,finite,3.92,3.925,"[lo, hi); denominator is the arm's full sample, not the window",112,0.424242424
fig_clrt_zoom,(a),Timing OFF,finite,3.925,3.93,"[lo, hi); denominator is the arm's full sample, not the window",126,0.477272727
fig_clrt_zoom,(a),Timing OFF,finite,3.93,3.935,"[lo, hi); denominator is the arm's full sample, not the window",135,0.511363636
fig_clrt_zoom,(a),Timing OFF,finite,3.935,3.94,"[lo, hi); denominator is the arm's full sample, not the window",114,0.431818182
fig_clrt_zoom,(a),Timing OFF,finite,3.94,3.945,"[lo, hi); denominator is the arm's full sample, not the window",132,0.5
fig_clrt_zoom,(a),Timing OFF,finite,3.945,3.95,"[lo, hi); denominator is the arm's full sample, not the window",128,0.484848485
fig_clrt_zoom,(a),Timing OFF,finite,3.95,3.955,"[lo, hi); denominator is the arm's full sample, not the window",120,0.454545455
fig_clrt_zoom,(a),Timing OFF,finite,3.955,3.96,"[lo, hi); denominator is the arm's full sample, not the window",121,0.458333333
fig_clrt_zoom,(a),Timing OFF,finite,3.96,3.965,"[lo, hi); denominator is the arm's full sample, not the window",111,0.420454545
fig_clrt_zoom,(a),Timing OFF,finite,3.965,3.97,"[lo, hi); denominator is the arm's full sample, not the window",110,0.416666667
fig_clrt_zoom,(a),Timing OFF,finite,3.97,3.975,"[lo, hi); denominator is the arm's full sample, not the window",88,0.333333333
fig_clrt_zoom,(a),Timing OFF,finite,3.975,3.98,"[lo, hi); denominator is the arm's full sample, not the window",123,0.465909091
fig_clrt_zoom,(a),Timing OFF,finite,3.98,3.985,"[lo, hi); denominator is the arm's full sample, not the window",97,0.367424242
fig_clrt_zoom,(a),Timing OFF,finite,3.985,3.99,"[lo, hi); denominator is the arm's full sample, not the window",103,0.390151515
fig_clrt_zoom,(a),Timing OFF,finite,3.99,3.995,"[lo, hi); denominator is the arm's full sample, not the window",102,0.386363636
fig_clrt_zoom,(a),Timing OFF,finite,3.995,4.0,"[lo, hi); denominator is the arm's full sample, not the window",97,0.367424242
fig_clrt_zoom,(a),Timing OFF,finite,4.0,4.005,"[lo, hi); denominator is the arm's full sample, not the window",77,0.291666667
fig_clrt_zoom,(a),Timing OFF,finite,4.005,4.01,"[lo, hi); denominator is the arm's full sample, not the window",111,0.420454545
